2021-08-07 16:54:50,880 - root - INFO - train with paddle version: 2.1.2, gpu: 1
2021-08-07 16:54:50,880 - root - INFO - Number of training samples: 74820, iter: 293
2021-08-07 16:54:50,880 - root - INFO - Number of validation samples: 18706, iter: 74
2021-08-07 16:54:54,708 - root - INFO - Epoch [0/ 1000] batch [0/293]: loss = 0.7025, acc = 0.4766, lr = 0.001
2021-08-07 16:54:56,039 - root - INFO - Epoch [0/ 1000] batch [10/293]: loss = 0.6116, acc = 0.6012, lr = 0.001
2021-08-07 16:54:57,396 - root - INFO - Epoch [0/ 1000] batch [20/293]: loss = 0.5936, acc = 0.6375, lr = 0.001
2021-08-07 16:54:58,515 - root - INFO - Epoch [0/ 1000] batch [30/293]: loss = 0.6046, acc = 0.6628, lr = 0.001
2021-08-07 16:54:59,690 - root - INFO - Epoch [0/ 1000] batch [40/293]: loss = 0.5448, acc = 0.6818, lr = 0.001
2021-08-07 16:55:00,990 - root - INFO - Epoch [0/ 1000] batch [50/293]: loss = 0.5566, acc = 0.6970, lr = 0.001
2021-08-07 16:55:02,223 - root - INFO - Epoch [0/ 1000] batch [60/293]: loss = 0.5681, acc = 0.7049, lr = 0.001
2021-08-07 16:55:03,446 - root - INFO - Epoch [0/ 1000] batch [70/293]: loss = 0.5940, acc = 0.7077, lr = 0.001
2021-08-07 16:55:04,742 - root - INFO - Epoch [0/ 1000] batch [80/293]: loss = 0.5687, acc = 0.7106, lr = 0.001
2021-08-07 16:55:05,885 - root - INFO - Epoch [0/ 1000] batch [90/293]: loss = 0.5522, acc = 0.7156, lr = 0.001
2021-08-07 16:55:07,025 - root - INFO - Epoch [0/ 1000] batch [100/293]: loss = 0.5381, acc = 0.7195, lr = 0.001
2021-08-07 16:55:08,199 - root - INFO - Epoch [0/ 1000] batch [110/293]: loss = 0.4771, acc = 0.7243, lr = 0.001
2021-08-07 16:55:09,413 - root - INFO - Epoch [0/ 1000] batch [120/293]: loss = 0.5275, acc = 0.7286, lr = 0.001
